"description","units","source key","Jan 2008","Feb 2008","Mar 2008","Apr 2008","May 2008","Jun 2008","Jul 2008","Aug 2008","Sep 2008","Oct 2008","Nov 2008","Dec 2008","Jan 2009","Feb 2009","Mar 2009","Apr 2009","May 2009","Jun 2009","Jul 2009","Aug 2009","Sep 2009","Oct 2009","Nov 2009","Dec 2009","Jan 2010","Feb 2010","Mar 2010","Apr 2010","May 2010","Jun 2010","Jul 2010","Aug 2010","Sep 2010","Oct 2010","Nov 2010","Dec 2010","Jan 2011","Feb 2011","Mar 2011","Apr 2011","May 2011","Jun 2011","Jul 2011","Aug 2011","Sep 2011","Oct 2011","Nov 2011","Dec 2011","Jan 2012","Feb 2012","Mar 2012","Apr 2012","May 2012","Jun 2012","Jul 2012","Aug 2012","Sep 2012","Oct 2012","Nov 2012","Dec 2012","Jan 2013","Feb 2013","Mar 2013","Apr 2013","May 2013","Jun 2013","Jul 2013","Aug 2013","Sep 2013","Oct 2013","Nov 2013","Dec 2013","Jan 2014","Feb 2014","Mar 2014","Apr 2014","May 2014","Jun 2014","Jul 2014","Aug 2014","Sep 2014","Oct 2014","Nov 2014","Dec 2014","Jan 2015","Feb 2015","Mar 2015","Apr 2015","May 2015","Jun 2015","Jul 2015","Aug 2015","Sep 2015","Oct 2015","Nov 2015","Dec 2015","Jan 2016","Feb 2016","Mar 2016","Apr 2016","May 2016","Jun 2016","Jul 2016","Aug 2016","Sep 2016","Oct 2016","Nov 2016","Dec 2016","Jan 2017","Feb 2017","Mar 2017","Apr 2017","May 2017","Jun 2017","Jul 2017","Aug 2017","Sep 2017","Oct 2017","Nov 2017","Dec 2017","Jan 2018","Feb 2018","Mar 2018","Apr 2018","May 2018","Jun 2018","Jul 2018","Aug 2018","Sep 2018","Oct 2018","Nov 2018","Dec 2018","Jan 2019","Feb 2019","Mar 2019","Apr 2019","May 2019","Jun 2019","Jul 2019","Aug 2019","Sep 2019","Oct 2019","Nov 2019","Dec 2019","Jan 2020","Feb 2020","Mar 2020","Apr 2020","May 2020","Jun 2020","Jul 2020","Aug 2020","Sep 2020","Oct 2020","Nov 2020"
"Florida : all sectors","number of customers","ELEC.CUSTOMERS.FL-ALL.M",9612399,9649411,9588438,9664213,9631602,9669655,9530442,9641679,9710492,9552302,9686551,9621719,9615444,9667399,9627997,9618895,9625461,9674288,9637368,9557095,9618100,9581996,9812358,9634076,9606876,9588252,9658495,9646786,9639848,9714561,9677320,9646475,9695866,9605528,9874048,9738874,9620125,9708383,9632312,9713142,9721066,9736972,9735493,9840321,9746133,9655284,9908171,9777196,9618470,9615379,9723545,10077928,10482536,9737033,9659044,9832904,9685969,9741758,9936833,9766924,9792654,9890489,9824114,9913212,10006594,9938499,9951164,9870695,9960332,9985358,10088490,10179318,9831321,10006108,10047122,10042425,10051686,10075475,10114215,10216378,10112857,10098249,10257986,10232948,10011011,10042386,10124205,10139341,10152887,10161926,10154925,10190536,10198813,10142115,10385535,10296322,10237966,10222198,10336038,10274353,10430279,10371757,10378363,10402372,10405159,10347890,10596061,10440822,10454446,10461151,10488583,10488588,10509008,10520899,10530838,10543395,10541990,10498034,10646135,10676120,10444689,10616544,10708193,10647599,10657934,10674965,10661553,10690154,10720867,10645794,10791159,10827407,10654389,10677661,10772359,10867063,10804843,10817313,10767093,10930980,10868345,10827710,10984431,10991721,10763288,10797516,10902968,10990459,10921724,10948436,10964786,10977623,10996992,11008919,11114392
"Florida : residential","number of customers","ELEC.CUSTOMERS.FL-RES.M",8464285,8498601,8442282,8513510,8482476,8515424,8386068,8487909,8548584,8403986,8526534,8471221,8466798,8518667,8482327,8471708,8480867,8525447,8492461,8420221,8475376,8441810,8655641,8491760,8468767,8451893,8515130,8504349,8498655,8564447,8528077,8502176,8550031,8464317,8712124,8590460,8473197,8555529,8484416,8558034,8567312,8578920,8578884,8672860,8586864,8501534,8736189,8616966,8462388,8459055,8560329,8873005,9230039,8568460,8496039,8656913,8519484,8569636,8751674,8595435,8612849,8703596,8640909,8726419,8808912,8747148,8756032,8682205,8763693,8786170,8878850,8969005,8652518,8816746,8854103,8848662,8855727,8880897,8914314,9004083,8908807,8893934,9042414,9020007,8824334,8851420,8927881,8940868,8953347,8960732,8954976,8981030,8990597,8937299,9163688,9081436,9032116,9012022,9119278,9064379,9202986,9150397,9159412,9174689,9180661,9125868,9356236,9212506,9223524,9231073,9253180,9256499,9272302,9282976,9292513,9303297,9302649,9260198,9394157,9428094,9213568,9371215,9452326,9398974,9408171,9423386,9409576,9438317,9465719,9395350,9532854,9566777,9406839,9428944,9513319,9599252,9542896,9554727,9508980,9655994,9600439,9560926,9704505,9713315,9498619,9532396,9623709,9705737,9647031,9669007,9684953,9697183,9715422,9733984,9822879
"Florida : commercial","number of customers","ELEC.CUSTOMERS.FL-COM.M",1123970,1127245,1122989,1127803,1126360,1131706,1122052,1131638,1139934,1126881,1138714,1129846,1126872,1127351,1124613,1126359,1123877,1128292,1124388,1116642,1122785,1120491,1136966,1122985,1120333,1118657,1125617,1124492,1123405,1131878,1130586,1125884,1127551,1123180,1143825,1130241,1129677,1135590,1130656,1137797,1136355,1140518,1139142,1149911,1141859,1136512,1154748,1143085,1138855,1139682,1146075,1186933,1233668,1151138,1145500,1159002,1149183,1154831,1167769,1154229,1162550,1169492,1165804,1169245,1179839,1173420,1177040,1170371,1178494,1181062,1191342,1192063,1160645,1171126,1174637,1175212,1177180,1176058,1180890,1193076,1184927,1185231,1196405,1193820,1167782,1172004,1177270,1179265,1180173,1181596,1180334,1189717,1188452,1185140,1202045,1195098,1185162,1189292,1195833,1189054,1205893,1199969,1197559,1206228,1203210,1200821,1218559,1207155,1209811,1208969,1214145,1210754,1215196,1216355,1216762,1218560,1218059,1216683,1230836,1227100,1210033,1224218,1234700,1227428,1228229,1229930,1230356,1230266,1233802,1229228,1237034,1239450,1224317,1225491,1235747,1244319,1238172,1238613,1234072,1251011,1244147,1243313,1256503,1255099,1244520,1244970,1258987,1264390,1254251,1258840,1259164,1259783,1260955,1251160,1271078
"Florida : industrial","number of customers","ELEC.CUSTOMERS.FL-IND.M",24119,23540,23142,22875,22741,22500,22297,22107,21949,21410,21278,20627,21749,21356,21032,20803,20692,20524,20494,20207,19914,19670,19726,19306,17751,17677,17723,17920,17763,18211,18632,18390,18259,18006,18074,18148,17248,17261,17237,17308,17396,17531,17464,17547,17407,17235,17231,17142,17225,16640,17139,17988,18827,17433,17503,16987,17300,17289,17388,17258,17253,17399,17399,17546,17841,17929,18090,18117,18143,18124,18296,18248,18156,18234,18380,18549,18777,18518,19009,19217,19121,19082,19165,19119,18893,18960,19052,19206,19365,19596,19613,19787,19762,19674,19800,19786,20686,20882,20925,20918,21398,21389,21390,21453,21286,21199,21264,21159,21109,21107,21256,21333,21508,21566,21561,21536,21280,21151,21140,20924,21086,21109,21165,21195,21532,21647,21619,21569,21344,21214,21269,21178,23231,23224,23291,23490,23773,23971,24039,23973,23757,23469,23421,23305,20147,20148,20270,20330,20440,20587,20667,20655,20613,23773,20433
"Florida : transportation","number of customers","ELEC.CUSTOMERS.FL-TRA.M",25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"Florida : other","number of customers","ELEC.CUSTOMERS.FL-OTH.M","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Georgia","number of customers","ELEC.CUSTOMERS.GA-ALL.M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Georgia : all sectors","number of customers","ELEC.CUSTOMERS.GA-ALL.M",4575426,4582474,4585904,4587363,4592514,4595701,4602109,4605797,4601799,4598469,4599581,4603227,4614558,4619994,4619476,4619986,4622083,4626443,4626977,4626351,4625731,4624423,4623200,4629250,4582236,4588332,4591802,4591117,4593268,4630604,4652514,4643657,4636518,4635927,4632846,4610586,4611110,4612643,4615400,4618449,4613428,4623176,4626169,4628191,4626707,4623548,4624950,4628926,4612773,4620492,4628797,4632115,4636564,4639337,4640711,4643694,4642046,4644148,4646751,4649607,4648626,4654448,4660856,4667145,4670157,4672986,4678119,4683152,4684904,4687450,4691603,4696600,4672847,4678214,4682156,4684437,4683349,4701615,4723988,4732196,4732949,4738139,4742525,4748241,4744081,4750666,4759014,4762349,4767435,4772846,4777320,4782598,4784466,4787720,4789876,4795740,4796344,4805377,4811086,4815630,4823102,4830072,4833411,4842901,4843827,4847936,4849418,4856409,4857546,4857875,4878119,4877148,4888912,4895493,4900134,4907633,4908354,4911462,4915025,4917631,4928485,4923721,4933232,4942657,4949670,4956022,4955735,4970738,4972481,4978749,4981364,4985789,4985080,4989351,4998275,5005484,5012427,5018276,5026410,5032643,5036324,5043733,5048726,5050870,5103716,5105080,5124943,5127561,5133852,5150572,5158497,5164979,5172715,5120168,5186911
"Georgia : residential","number of customers","ELEC.CUSTOMERS.GA-RES.M",4018970,4025567,4028445,4028785,4033126,4035387,4041099,4044811,4040764,4037700,4039474,4042978,4052849,4058403,4058236,4057647,4059760,4062865,4066263,4066978,4065013,4064072,4062652,4067579,4025849,4031310,4033795,4032874,4034702,4066827,4085127,4079278,4072276,4071678,4068566,4047328,4048348,4050173,4051649,4053861,4050092,4057242,4059980,4061768,4060507,4057818,4059237,4063097,4051900,4059465,4065533,4068308,4070517,4073105,4074388,4077850,4076104,4077575,4080173,4082799,4079331,4084938,4088762,4095135,4097632,4099562,4103809,4108145,4109949,4112125,4115896,4120842,4104719,4109864,4112735,4113998,4112183,4132787,4148237,4155435,4156590,4161217,4165846,4171048,4166765,4173765,4180899,4183177,4187586,4191569,4193548,4198496,4199695,4202964,4205210,4210801,4211329,4219008,4224125,4228064,4233906,4239970,4243123,4251756,4253440,4257051,4258276,4265004,4265029,4266399,4283419,4284369,4292870,4298651,4302857,4309822,4310944,4313277,4316738,4319333,4329363,4325497,4333117,4341636,4347019,4352844,4351549,4366111,4368410,4374171,4377131,4381394,4379490,4383442,4391586,4398054,4403756,4409565,4416408,4422150,4426033,4432708,4436588,4438466,4493956,4494808,4510674,4515864,4522921,4537883,4545038,4551324,4558951,4506755,4571805
"Georgia : commercial","number of customers","ELEC.CUSTOMERS.GA-COM.M",540481,541230,541679,542739,543372,544118,544737,544779,544944,544935,544221,544584,546513,546417,546043,546986,546737,547770,544836,543541,545101,544938,545079,546339,541249,541939,542820,542805,543082,547730,551061,548323,548362,548603,548684,547403,546918,546761,547778,548463,546997,549330,549536,549813,549759,549469,549543,549689,543568,544926,546080,546307,548324,548408,548316,549024,548465,549193,549224,549481,550905,551028,553657,553255,553395,554074,554826,555460,555625,556305,556761,556870,548242,548509,549484,550265,550649,549167,554775,555787,555661,556501,556429,556919,557018,556699,557787,558601,559058,560087,562576,562941,563766,564137,564187,564512,563729,564946,565583,566167,567051,567902,568051,569086,568425,569115,569376,569685,569885,568965,571909,569752,572614,573185,573570,574159,574192,575179,575389,575490,576450,575669,577489,578207,579110,579479,580437,580980,580923,581689,581440,581730,582519,582943,583683,584166,584887,584638,585725,586253,586283,587568,588876,589341,590526,591092,594921,592348,591274,592817,593509,593793,593997,589589,595819
