"description","units","source key","Jan 2008","Feb 2008","Mar 2008","Apr 2008","May 2008","Jun 2008","Jul 2008","Aug 2008","Sep 2008","Oct 2008","Nov 2008","Dec 2008","Jan 2009","Feb 2009","Mar 2009","Apr 2009","May 2009","Jun 2009","Jul 2009","Aug 2009","Sep 2009","Oct 2009","Nov 2009","Dec 2009","Jan 2010","Feb 2010","Mar 2010","Apr 2010","May 2010","Jun 2010","Jul 2010","Aug 2010","Sep 2010","Oct 2010","Nov 2010","Dec 2010","Jan 2011","Feb 2011","Mar 2011","Apr 2011","May 2011","Jun 2011","Jul 2011","Aug 2011","Sep 2011","Oct 2011","Nov 2011","Dec 2011","Jan 2012","Feb 2012","Mar 2012","Apr 2012","May 2012","Jun 2012","Jul 2012","Aug 2012","Sep 2012","Oct 2012","Nov 2012","Dec 2012","Jan 2013","Feb 2013","Mar 2013","Apr 2013","May 2013","Jun 2013","Jul 2013","Aug 2013","Sep 2013","Oct 2013","Nov 2013","Dec 2013","Jan 2014","Feb 2014","Mar 2014","Apr 2014","May 2014","Jun 2014","Jul 2014","Aug 2014","Sep 2014","Oct 2014","Nov 2014","Dec 2014","Jan 2015","Feb 2015","Mar 2015","Apr 2015","May 2015","Jun 2015","Jul 2015","Aug 2015","Sep 2015","Oct 2015","Nov 2015","Dec 2015","Jan 2016","Feb 2016","Mar 2016","Apr 2016","May 2016","Jun 2016","Jul 2016","Aug 2016","Sep 2016","Oct 2016","Nov 2016","Dec 2016","Jan 2017","Feb 2017","Mar 2017","Apr 2017","May 2017","Jun 2017","Jul 2017","Aug 2017","Sep 2017","Oct 2017","Nov 2017","Dec 2017","Jan 2018","Feb 2018","Mar 2018","Apr 2018","May 2018","Jun 2018","Jul 2018","Aug 2018","Sep 2018","Oct 2018","Nov 2018","Dec 2018","Jan 2019","Feb 2019","Mar 2019","Apr 2019","May 2019","Jun 2019","Jul 2019","Aug 2019","Sep 2019","Oct 2019","Nov 2019","Dec 2019","Jan 2020","Feb 2020","Mar 2020","Apr 2020","May 2020","Jun 2020","Jul 2020","Aug 2020","Sep 2020","Oct 2020","Nov 2020"
"Number of customer accounts","number of customers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"United States","number of customers","ELEC.CUSTOMERS.US-ALL.M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"United States : all sectors","number of customers","ELEC.CUSTOMERS.US-ALL.M",143412299,142816242,143198070,143118223,143167043,143404043,143629292,143658867,143531265,143866544,142802011,144144391,143092208,142891027,143532486,143685837,143070924,143769664,143859563,143539696,143473810,143889070,143252943,144292287,143201001,143096373,144193891,144139020,143683686,144138745,144563790,144509086,144532490,144494350,144232350,144893559,143568441,143511686,144957102,144058824,144382247,144811126,144557120,145243220,144832378,144516255,144644581,145024799,144599424,144463591,145331057,145094960,146116653,145441312,145225134,146085918,144876858,145683234,145326769,145278087,146011377,145245699,146156589,145639969,146568836,146130251,146522554,146692952,146120983,147199915,145982465,147186983,146660730,146266104,147011470,146972211,147103136,147211584,147859432,147670538,147567033,148376677,147293074,148488351,147916025,147499498,148656946,148387164,148054757,148728050,149282187,148559532,148915286,149215899,148543795,149835121,149158414,148962775,150354947,149340126,149976222,150311307,150065126,150433452,150428971,150360762,150333758,150936431,151095211,150454520,152072684,150949126,151783130,152126314,151550213,152318190,151661554,152408072,152355367,152578237,152693328,152176208,153249906,152768473,153586344,153409508,153368107,153986854,153229355,153939997,153615613,154042768,154427955,152787704,154726239,154494404,155068891,154672832,155192181,155347250,154957895,156053737,154991091,156056308,155905168,155104026,156461812,156399230,156213154,156858937,157644889,156936304,157201014,156758164,156790464
"United States : residential","number of customers","ELEC.CUSTOMERS.US-RES.M",125087168,124603700,124880315,124835939,124847257,125006630,125161249,125219747,125080299,125459531,124567523,125705084,124862256,124706213,125186985,125347278,124841560,125376280,125460675,125197488,125135312,125502921,124998344,125890006,124906507,124842128,125732549,125730839,125349845,125728387,126011081,125990509,126015980,126056303,125845114,126403956,125335632,125324801,126538410,125795504,126064856,126411464,126153422,126732832,126386997,126127824,126251331,126593788,126242521,126147190,126890820,126680967,127543688,126998376,126749730,127521015,126453450,127148704,126862992,126747576,127595060,126911590,127694574,126863523,128031040,127665705,127940694,128138737,127680228,128616444,127563046,128622650,128080045,127760935,128398293,128347095,128428131,128562601,129055781,128924140,128788358,129521707,128640689,129655750,129177100,128836192,129858190,129607349,129550528,129833960,130322224,129696710,130004031,130277004,129722466,130854255,130327243,130114828,131333340,130452160,131002108,131282771,131086905,131346501,131374997,131318899,131325418,131859453,131977307,131437253,132851616,131902166,132559481,132866506,132345053,133013535,132461398,133126174,133093866,133321574,133302446,132923513,133852602,133417773,134121801,133935311,133883159,134433813,133791062,134377594,134155451,134524109,134845133,133333741,135170833,134920415,135405612,135074042,135468046,135635335,135291081,136260010,135340521,136250376,136242098,135574675,136735189,136709401,136581044,137113150,137828370,137220273,137451982,136892551,137089797
"United States : commercial","number of customers","ELEC.CUSTOMERS.US-COM.M",17571147,17465070,17509854,17530143,17561292,17631160,17640732,17610993,17626884,17648493,17489157,17702401,17488241,17456977,17547141,17584748,17496203,17600995,17603850,17547055,17547505,17653521,17536081,17683477,17583534,17545240,17684381,17689371,17610528,17670404,17741672,17710653,17713203,17706939,17669249,17764826,17541692,17497503,17682989,17566829,17612428,17684700,17645184,17748622,17687829,17638704,17653512,17695148,17637378,17613157,17720807,17689298,17833328,17700715,17727045,17831822,17684165,17798407,17722313,17788403,17595375,17526676,17647058,17950153,17701109,17623026,17727832,17697816,17603069,17739281,17603224,17738970,17756185,17694926,17795435,17795240,17834341,17810020,17937858,17889944,17922008,17993992,17827317,17988765,17924312,17854428,17975571,17955904,17675632,18042403,18099332,18013711,18059742,18087524,17995604,18142822,18001806,18022657,18185531,18064005,18133949,18174804,18130289,18227261,18207555,18203386,18183746,18244491,18289356,18199541,18384031,18225046,18375746,18402963,18354033,18437269,18354295,18435264,18430836,18423574,18552003,18440673,18574947,18526543,18613438,18615355,18623955,18686099,18594023,18717481,18636211,18682871,18650138,18539519,18635772,18640407,18708360,18637617,18735687,18728398,18691319,18821137,18705003,18836882,18726474,18609362,18790043,18747084,18689150,18781259,18838778,18749015,18780746,18869327,18756798
"United States : industrial","number of customers","ELEC.CUSTOMERS.US-IND.M",753288,746771,807188,751426,757785,765535,826573,827386,823339,757762,744598,736158,741026,727141,797660,753109,732457,791686,794335,794447,790286,731920,717806,718092,710700,708767,776722,718573,723075,739717,810800,807688,803075,730877,717756,724536,691024,689287,735610,696394,704871,714869,758421,761674,757463,749637,739648,735774,719433,703152,719346,724611,739556,742139,748278,733000,739162,736043,741383,742028,820869,807361,814884,826221,836614,841448,853955,856327,837614,844120,816115,825278,824418,810164,817663,829796,840580,838886,865715,856377,856589,860902,824992,843760,814536,808801,823107,823833,828518,851608,860552,849033,851435,851293,825647,837966,829287,825209,835990,823879,840080,853646,847849,859607,846336,838393,824510,832403,828464,817642,836953,821828,847817,856760,851042,867301,845776,846549,830580,833004,838797,811940,822275,824075,851023,858759,860910,866859,844187,844839,823868,835705,932601,914361,919551,933498,954838,961090,988365,983435,975412,972507,945483,968966,936513,919906,936497,942662,942877,964445,977659,966934,968204,996204,943787
"United States : transportation","number of customers","ELEC.CUSTOMERS.US-TRA.M",696,701,713,715,709,718,738,741,743,758,733,748,685,696,700,702,704,703,703,706,707,708,712,712,260,238,239,237,238,237,237,236,232,231,231,241,93,95,93,97,92,93,93,92,89,90,90,89,92,92,84,84,81,82,81,81,81,80,81,80,73,72,73,72,73,72,73,72,72,70,80,85,82,79,79,80,"NM",77,78,77,78,76,76,76,77,77,78,78,79,79,79,78,78,78,78,78,78,81,86,82,85,86,83,83,83,84,84,84,84,84,84,86,86,85,85,85,85,85,85,85,82,82,82,82,82,83,83,83,83,83,83,83,83,83,83,84,81,83,83,82,83,83,84,84,83,83,83,83,83,83,82,82,82,82,82
"United States : other","number of customers","ELEC.CUSTOMERS.US-OTH.M","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"New England","number of customers","ELEC.CUSTOMERS.NEW-ALL.M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"New England : all sectors","number of customers","ELEC.CUSTOMERS.NEW-ALL.M",6926827,6978821,6997581,6962861,6981576,7015712,6997436,7001009,6997451,7003908,6986333,6970157,6949210,6970977,6975440,6985059,6972388,6963982,6989262,6964448,6977230,7004128,6968074,6995138,7036481,7037291,7043623,7018905,7021486,7023587,7051462,7003100,7031374,7012430,7024913,6999802,7053656,7021775,7051523,7068182,7043971,7067574,7067599,7052941,7062889,7061704,7195250,7039296,7061385,7081523,7086842,7059004,7069356,7094657,7091738,7083871,7087358,7053005,7111115,7088102,7089612,7078057,7094687,7099059,7083130,7111993,7109663,7107001,7100190,7112634,7082804,7111853,7112274,7111154,7099988,7109985,7155377,7126273,7132777,7154724,7123028,7161467,7156204,7156379,7217553,7222032,7216794,7215077,7190221,7248459,7225089,7222559,7235355,7232607,7218840,7251695,7148135,7165604,7236928,7154849,7219551,7189444,7189829,7203373,7226408,7166048,7200656,7194463,7235750,7196831,7277955,7248475,7255945,7293498,7263847,7220864,7246267,7210164,7286740,7226774,7274343,7238240,7241904,7250658,7327201,7258871,7321225,7307941,7282334,7306000,7288442,7316454,7306699,7232114,7352880,7281174,7319868,7306398,7361800,7409684,7311982,7340148,7333637,7341838,7414790,7290762,7382924,7392458,7381206,7410281,7423631,7422351,7388212,7430702,7338166
"New England : residential","number of customers","ELEC.CUSTOMERS.NEW-RES.M",6073091,6122618,6138687,6107859,6122836,6154590,6133982,6138889,6133337,6140273,6131049,6108589,6108180,6131459,6137725,6147908,6135558,6130349,6144284,6125296,6139822,6158728,6128420,6147076,6160797,6169336,6173916,6150932,6154302,6164370,6192626,6145589,6170503,6153451,6165345,6143014,6182139,6153086,6179126,6195111,6172940,6193481,6193208,6179969,6188883,6187453,6283740,6167326,6186705,6205397,6210125,6184011,6192221,6216179,6211610,6204681,6208190,6189218,6226682,6209645,6214014,6203267,6218354,6222604,6208436,6233246,6231066,6228547,6223647,6233632,6208694,6234013,6233280,6226686,6217145,6224613,6268973,6240318,6236891,6258818,6228398,6262593,6258378,6260032,6311008,6315339,6319490,6318277,6296268,6328704,6325691,6324290,6334370,6332013,6319481,6349007,6254291,6270170,6308694,6260930,6319070,6298265,6289860,6299014,6322016,6268697,6299487,6294137,6332482,6296774,6368632,6340856,6347085,6379722,6353840,6310945,6337797,6306148,6369795,6319984,6377318,6348500,6341336,6350565,6420459,6357546,6418524,6389743,6366631,6388980,6372435,6399235,6397136,6331955,6435855,6372727,6408036,6395000,6443471,6491443,6399306,6422847,6416540,6424738,6487398,6372950,6455418,6463813,6455141,6483401,6499471,6499961,6470327,6494080,6420786
"New England : commercial","number of customers","ELEC.CUSTOMERS.NEW-COM.M",825878,828429,830935,827194,830861,833384,835483,833639,836179,835505,827407,833910,811524,810242,808321,807893,807474,804352,815342,809839,808176,816056,810480,818656,845410,838349,839411,838090,837490,829779,829440,828028,831396,829451,830081,827532,837290,834575,837983,838992,837065,839827,840271,839054,839696,839894,875864,838095,840516,842039,842575,840820,843015,844356,845916,844913,844867,829847,850110,844285,845989,845169,846688,846922,845151,849101,849030,848761,846814,849280,844440,848181,851092,856603,854999,857477,858679,857814,867789,867689,866456,870719,869691,868216,879393,879457,870325,869882,867226,892874,872634,871291,874013,873707,872673,875866,867393,869026,901621,867604,873999,864710,873687,877901,877873,871083,874766,873989,880109,877307,886098,884541,885777,890625,886990,886843,885349,881050,893910,884036,873630,866542,877362,877082,883634,878343,879808,895158,892822,893989,893109,894457,885963,876910,893396,884947,888333,888287,894932,894988,889618,894021,893945,894055,907805,898577,908117,909263,906772,907477,904917,903113,898853,913653,898798
"New England : industrial","number of customers","ELEC.CUSTOMERS.NEW-IND.M",27852,27768,27953,27802,27873,27732,27965,28475,27927,28124,27871,27652,29503,29273,29391,29255,29353,29278,29633,29310,29229,29341,29171,29403,30269,29601,30291,29878,29689,29433,29391,29478,29470,29523,29482,29251,34220,34105,34407,34072,33959,34259,34113,33911,34303,34350,35639,33868,34159,34082,34137,34168,34115,34117,34207,34272,34296,33935,34318,34167,29604,29616,29640,29528,29538,29641,29562,29688,29724,29717,29665,29654,27891,27856,27836,27885,27711,28135,28091,28211,28168,28150,28130,28126,27145,27229,26972,26911,26720,26874,26757,26971,26965,26880,26679,26815,26445,26402,26607,26309,26476,26462,26275,26451,26512,26261,26396,26330,23153,22744,23219,23071,23076,23145,23011,23070,23115,22960,23029,22748,23389,23192,23200,23005,23102,22975,22886,23033,22874,23024,22891,22755,23594,23243,23623,23494,23493,23105,23391,23247,23052,23274,23146,23039,19581,19229,19383,19376,19287,19397,19237,19271,19026,22963,18576
"New England : transportation","number of customers","ELEC.CUSTOMERS.NEW-TRA.M",6,6,6,6,6,6,6,6,8,6,6,6,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,7,9,7,7,7,7,7,7,7,7,7,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,"NM","NM","NM","NM","NM",6,6,6,6,5,5,"NM",7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,7,7,7,7,7,7,7,"NM","NM","NM","NM","NM",6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"New England : other","number of customers","ELEC.CUSTOMERS.NEW-OTH.M","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Connecticut","number of customers","ELEC.CUSTOMERS.CT-ALL.M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Connecticut : all sectors","number of customers","ELEC.CUSTOMERS.CT-ALL.M",1612550,1612660,1615349,1614371,1614617,1613635,1612814,1614677,1617325,1612503,1604785,1606469,1601985,1597074,1597875,1600340,1599808,1597242,1606285,1596617,1597676,1598871,1600007,1609884,1626684,1618417,1618684,1618135,1615022,1602576,1602294,1601616,1603725,1603980,1606627,1609779,1614219,1572803,1614558,1612808,1611524,1610761,1609445,1610758,1610734,1610594,1612710,1613597,1612657,1612622,1611734,1611291,1610561,1609677,1608973,1608686,1609073,1598119,1611950,1611468,1610872,1610213,1607552,1610243,1609642,1609643,1610967,1609711,1610192,1609417,1609782,1611203,1611301,1610692,1607378,1603642,1598265,1628052,1627896,1627455,1627682,1626758,1629766,1632281,1633962,1634594,1624984,1624099,1623123,1622396,1621825,1622124,1624358,1625903,1626702,1626722,1629430,1641768,1640407,1644557,1643725,1642971,1643049,1644378,1644554,1646490,1648325,1650343,1649934,1650039,1647834,1652565,1653281,1652981,1651730,1653155,1653673,1654608,1656322,1658306,1660149,1659457,1660806,1661205,1662362,1661305,1661692,1662426,1660832,1662857,1664106,1664843,1664289,1665041,1664704,1665723,1665829,1665840,1667552,1667617,1668173,1669642,1669942,1671467,1676052,1676638,1677954,1679590,1679869,1682165,1684139,1682831,1684737,1685931,1684613
"Connecticut : residential","number of customers","ELEC.CUSTOMERS.CT-RES.M",1451953,1452334,1453327,1453144,1453366,1452637,1452089,1452959,1455391,1451864,1450243,1445656,1444983,1442227,1447921,1449678,1449250,1449360,1448090,1444390,1445949,1446318,1447688,1451134,1455939,1454966,1454646,1454349,1451613,1448338,1448193,1447569,1449244,1449678,1452169,1454970,1459170,1421197,1459225,1457787,1456487,1455540,1454548,1455528,1455778,1455336,1457549,1458211,1456725,1456821,1455908,1455452,1454560,1453694,1453090,1452830,1453234,1451792,1456069,1455624,1455880,1455329,1452921,1455282,1454960,1454470,1455575,1454579,1455256,1454355,1454811,1456140,1456309,1455443,1452539,1448824,1444132,1463968,1463953,1463440,1463840,1464022,1466038,1468374,1469291,1469854,1469144,1468448,1467648,1466943,1466473,1466706,1469103,1470588,1471641,1471640,1474939,1485151,1483922,1487768,1487045,1486253,1486411,1487546,1487694,1489430,1491423,1493301,1493996,1494061,1490737,1495112,1495797,1495564,1494313,1495654,1495983,1496909,1498387,1500414,1501815,1501142,1502603,1503021,1504169,1503147,1503574,1504240,1502562,1504599,1505852,1507684,1508332,1508830,1508589,1509456,1509647,1509735,1511210,1511517,1511927,1513319,1513745,1515286,1517257,1517677,1519021,1520644,1521870,1522613,1524461,1523555,1525472,1526552,1525171
"Connecticut : commercial","number of customers","ELEC.CUSTOMERS.CT-COM.M",155263,155043,156663,155943,155970,155775,155682,156163,156570,155450,149553,155868,152039,150014,145142,145858,145765,143044,153084,147345,146853,147671,147457,153814,165288,158287,158825,158607,158378,149457,149329,149221,149668,149451,149631,150004,150235,146931,150540,150266,150284,150483,150164,150490,150229,150247,150451,150709,151227,151112,151167,151146,151332,151301,151244,151168,151160,141931,151222,151206,150427,150265,150054,150388,150113,150591,150818,150553,150402,150474,150409,150533,150472,150717,150327,150305,149746,159305,159168,159230,159056,157967,158991,159179,159928,159993,151398,151231,151055,151034,150952,151019,150870,150914,150687,150705,150151,152197,152060,152364,152258,152338,152238,152435,152441,152651,152441,152603,151538,151603,152695,153043,153071,153021,153029,153109,153300,153338,153526,153563,153913,153947,153855,153858,153861,153831,153852,153882,153973,153970,153974,152980,151697,151940,151883,152022,151966,151914,152136,151943,152070,152135,152013,152036,154679,154854,154826,154821,153894,155456,155587,155206,155378,155221,155602
"Connecticut : industrial","number of customers","ELEC.CUSTOMERS.CT-IND.M",5329,5278,5354,5279,5276,5218,5038,5550,5357,5184,4984,4940,4961,4831,4810,4802,4791,4836,5109,4880,4872,4880,4860,4934,5455,5162,5211,5177,5029,4779,4770,4824,4811,4849,4825,4803,4810,4669,4789,4751,4749,4734,4729,4736,4723,5007,4706,4673,4703,4687,4657,4691,4667,4680,4637,4686,4677,4394,4657,4636,4563,4617,4575,4571,4567,4580,4572,4577,4532,4586,4560,4528,4513,4527,4508,4507,4377,4777,4773,4783,4784,4767,4735,4726,4740,4744,4439,4417,4417,4416,4397,4396,4382,4398,4371,4374,4337,4417,4422,4422,4419,4376,4396,4393,4415,4405,4457,4435,4397,4372,4399,4406,4409,4393,4385,4389,4387,4358,4406,4326,4418,4365,4345,4323,4329,4323,4262,4300,4293,4284,4276,4175,4257,4268,4229,4242,4213,4188,4203,4154,4173,4185,4181,4142,4113,4104,4104,4122,4102,4093,4088,4067,3884,4155,3837
"Connecticut : transportation","number of customers","ELEC.CUSTOMERS.CT-TRA.M",5,5,5,5,5,5,5,5,7,5,5,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,6,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,"NM","NM","NM","NM","NM",2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,"NM","NM","NM","NM","NM",3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"Connecticut : other","number of customers","ELEC.CUSTOMERS.CT-OTH.M","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Maine","number of customers","ELEC.CUSTOMERS.ME-ALL.M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Maine : all sectors","number of customers","ELEC.CUSTOMERS.ME-ALL.M",784408,784821,784993,785563,786000,786300,786701,787113,787167,786536,786223,785633,786298,786412,786594,787069,787263,787802,788196,788639,788560,787913,788099,788379,788734,788623,789146,790052,790304,791218,791516,791932,792031,791618,791603,791749,792039,792134,792388,792673,792170,793429,793720,794125,793774,792870,793151,792901,794075,794080,794509,795010,795250,795915,796234,796728,796880,796339,795895,796234,795412,795448,796286,796141,796664,797154,798645,798389,798504,798057,795915,798257,799841,800001,800158,800524,798421,801575,803370,802515,803638,803605,802167,802375,803714,803977,802583,803274,777976,808274,807323,805204,807783,804586,755581,811222,809628,781599,812435,783400,813814,812341,783097,815045,811628,784641,782429,813528,811767,752120,813733,809829,816855,816797,816439,817284,817559,817140,816633,816515,817872,787491,819334,815206,819519,818655,784373,823707,790880,823051,789837,817813,819051,788176,820703,796780,825525,794753,828914,828338,799058,829695,802259,828727,856193,737539,832017,829208,802070,832746,831352,828326,829831,831414,774102
"Maine : residential","number of customers","ELEC.CUSTOMERS.ME-RES.M",694223,694605,694807,695153,695334,695465,695793,696160,696244,695740,695653,695231,695852,696003,696160,696471,696317,696770,697148,697539,697508,697013,697323,697759,698068,697995,698453,699106,699140,699924,700181,700564,700619,700271,700437,700724,700895,701003,701141,701229,700438,701523,701777,702133,701802,701122,701519,701442,702738,702815,703154,703351,703395,703931,704131,704506,704644,704153,703966,704442,703682,703684,704309,704052,704237,704586,705915,705415,705485,705116,705289,705517,706852,707007,706648,706522,704168,707137,707591,707860,707727,707615,707071,707228,703382,703583,702745,702880,680527,707165,706182,704286,706642,703478,660520,709502,707879,683018,710304,684896,711498,710173,683168,711397,709464,685754,683385,710915,709414,656817,711186,708485,713802,713515,712985,713670,713907,713500,713127,713090,717177,690282,718718,716620,719091,718571,690777,721482,693715,721586,692709,717463,716619,689754,717991,695791,721875,694205,724335,723734,697969,724667,699787,723699,752992,645054,727349,724623,700646,730613,730643,730841,730808,731856,680049
"Maine : commercial","number of customers","ELEC.CUSTOMERS.ME-COM.M",87363,87397,87370,87592,87847,88006,88083,88124,88091,87969,87732,87559,87592,87561,87589,87744,88080,88165,88182,88240,88190,88034,87924,87766,87821,87799,87876,88128,88347,88479,88527,88562,88597,88532,88337,88188,88305,88289,88401,88610,88893,89090,89127,89171,89160,88944,88833,88661,88557,88489,88582,88888,89082,89210,89328,89437,89438,89392,89143,89018,88775,88803,89022,89141,89473,89615,89767,90021,90069,89965,87649,89742,89980,89986,90503,90992,91236,91411,92748,91623,92876,92955,92063,92118,97325,97378,96823,97374,94586,98077,98122,97885,98106,98080,92275,98654,98706,95632,99047,95555,99231,99080,96978,100550,99077,95945,96083,99494,99242,92503,99422,98281,99927,100151,100328,100474,100515,100494,100360,100282,97481,94166,97392,95453,97320,97036,90670,99134,94262,98340,94191,97337,99325,95523,99634,97999,100604,97808,101684,101739,98379,102168,99755,102221,100389,89996,101898,101850,98816,99395,97994,94825,96356,96879,91634
"Maine : industrial","number of customers","ELEC.CUSTOMERS.ME-IND.M",2822,2819,2816,2818,2819,2829,2825,2829,2832,2827,2838,2843,2854,2848,2845,2854,2866,2867,2866,2860,2862,2866,2852,2854,2845,2829,2817,2818,2817,2815,2808,2806,2815,2815,2829,2837,2839,2842,2846,2834,2839,2816,2816,2821,2812,2804,2799,2798,2780,2776,2773,2771,2773,2774,2775,2785,2798,2794,2786,2774,2955,2961,2955,2948,2954,2953,2963,2953,2950,2976,2977,2998,3009,3008,3007,3010,3017,3027,3031,3032,3035,3035,3033,3029,3007,3016,3015,3020,2863,3032,3019,3033,3035,3028,2786,3066,3043,2949,3084,2949,3085,3088,2951,3098,3087,2942,2961,3119,3111,2800,3125,3063,3126,3131,3126,3140,3137,3146,3146,3143,3214,3043,3224,3133,3108,3048,2926,3091,2903,3125,2937,3013,3107,2899,3078,2990,3046,2740,2895,2865,2710,2860,2717,2807,2812,2489,2770,2735,2608,2738,2715,2660,2667,2679,2419
"Maine : transportation","number of customers","ELEC.CUSTOMERS.ME-TRA.M",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Maine : other","number of customers","ELEC.CUSTOMERS.ME-OTH.M","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
